"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.39085330290159e-11,143,3072,1.87753191321067,"Response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," OSBPL7  TNFRSF12A  CRY1  RUNX3  SLC12A2  SMARCD1  TGFBR3  FGF22  ATP2B1  TFRC  TRAF4  CXCL2  PPP1R15A  GNAO1  OSM  HIF1A  ADNP2  SMAD7  CDK16  FGF9  AQP8  HAS1  NAMPT  GLI3  MAP3K8  CCL7  AREG  CDKN1B  CD83  VEGFA  PDE4D  HES1  IL1A  CCL20  IL1R1  NFE2L2  ERRFI1  CTH  ETV3  SLC2A1  F3  RAD23B  NR4A3  ESRRB  CXCR4  INHBA  NR4A1  DBH  CDKN1A  EREG  WNT1  IL1B  FOSB  EDN2  RASL11B  LIF  DNAJB9  CRACR2A  JUND  GFPT2  DNAJB1  BTG1  KRAS  SPRY2  IL6  SKIL  IL10  FGFBP1  LRRC32  THBS1  RAB20  TOB1  GNAL  GATA6  RNF165  PMAIP1  IL19  DUSP10  PIK3R1  TNFRSF21  ARID5B  SLC7A11  RANBP2  NR4A2  OTULIN  BTG2  UBR1  CXCR5  LMNA  CAMK2N1  DNAJB4  VCAM1  NLRP3  ATF3  IL20  IL24  TIPARP  CXCL3  ZC3H12A  SPRY1  IL3  CSF2  HEY1  NFIL3  GJB2  NKX3-1  DDIT4  MN1  CXCL8  SYAP1  KBTBD2  TRH  S1PR1  JUNB  PTGER4  SLC25A33  KLHL15  DDIT3  CLCF1  FOSL1  TGIF1  ERN1  GPR35  THBD  PER1  EGR3  SHISA2  TSPYL2  EFNA5  SOCS3  SOCS1  FFAR3  IRS2  LRRC70  INSIG1  FGF3  SERPINB2  MB  VASN  DLL1  FCAR  CCL4  CCL18"
8.80806191096079e-11,122,2508,1.9620261890921,"Cellular response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0071310"," OSBPL7  TNFRSF12A  CRY1  SLC12A2  SMARCD1  TGFBR3  FGF22  ATP2B1  TFRC  TRAF4  CXCL2  PPP1R15A  GNAO1  OSM  HIF1A  ADNP2  SMAD7  CDK16  FGF9  AQP8  HAS1  NAMPT  MAP3K8  CCL7  CDKN1B  VEGFA  PDE4D  HES1  IL1A  CCL20  IL1R1  NFE2L2  ERRFI1  CTH  ETV3  F3  RAD23B  NR4A3  ESRRB  CXCR4  INHBA  NR4A1  CDKN1A  EREG  WNT1  IL1B  FOSB  EDN2  RASL11B  LIF  DNAJB9  GFPT2  KRAS  SPRY2  IL6  SKIL  IL10  FGFBP1  LRRC32  THBS1  RAB20  TOB1  GNAL  GATA6  RNF165  IL19  PIK3R1  TNFRSF21  ARID5B  NR4A2  OTULIN  UBR1  CXCR5  LMNA  CAMK2N1  VCAM1  NLRP3  ATF3  IL20  IL24  TIPARP  CXCL3  ZC3H12A  SPRY1  IL3  CSF2  HEY1  NFIL3  GJB2  NKX3-1  DDIT4  MN1  CXCL8  SYAP1  TRH  S1PR1  JUNB  PTGER4  SLC25A33  KLHL15  DDIT3  CLCF1  TGIF1  ERN1  GPR35  PER1  EGR3  SHISA2  TSPYL2  EFNA5  SOCS3  SOCS1  FFAR3  IRS2  INSIG1  FGF3  SERPINB2  VASN  DLL1  FCAR  CCL4  CCL18"
3.27042593526896e-10,86,1516,2.28808287919513,"Regulation of cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0042127"," RUNX3  DDX20  TGFBR3  FGF22  TFRC  NUAK1  FOSL2  OSM  HIF1A  PPP1R16B  SMAD7  FGF9  RGCC  NDRG1  NAMPT  HOXA5  GLI3  AREG  CDKN1B  VEGFA  HBEGF  HES1  CBLB  IL1A  ERRFI1  MEF2D  ETV3  F3  NR4A3  INHBA  NR4A1  DBH  CDKN1A  EREG  WNT1  IL1B  EDN2  LIF  JUND  RBM38  BTG1  KRAS  EGR4  SPRY2  IL6  IL10  FGFBP1  LRRC32  THBS1  TOB1  GATA6  DUSP10  TNFRSF21  IGFBP3  SLC7A11  BTG2  ICOSLG  LMNA  CAMK2N1  VCAM1  ATF3  IL24  SPDYA  SPRY1  IL3  CSF2  NKX3-1  MN1  CXCL8  GPR183  S1PR1  JUNB  SLC25A33  OVOL1  CLCF1  FOSL1  ERN1  EGR3  IRS2  FGF3  SERTAD1  NRARP  TOX  DLG5  DLL1  BTG3"
1.12833769105817e-09,135,3036,1.79351289202468,"Cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," OSBPL7  TNFRSF12A  CRY1  SLC12A2  SMARCD1  TGFBR3  FGF22  ATP2B1  TFRC  TRAF4  CXCL2  PPP1R15A  GNAO1  OSM  HIF1A  ADNP2  SMAD7  CDK16  FGF9  RGCC  AQP8  NDRG1  HAS1  NAMPT  MAP3K8  PPIF  CCL7  CDKN1B  VEGFA  HBEGF  PDE4D  HES1  IL1A  CCL20  IL1R1  NFE2L2  ERRFI1  CTH  ETV3  SLC2A1  F3  RAD23B  NR4A3  ESRRB  PYROXD1  CXCR4  INHBA  NR4A1  CDKN1A  EREG  WNT1  IL1B  FOSB  SBDS  EDN2  RASL11B  LIF  DNAJB9  JUND  GFPT2  KDM6B  KRAS  SPRY2  IL6  SKIL  IL10  FGFBP1  LRRC32  THBS1  RAB20  TOB1  GNAL  GATA6  RNF165  PMAIP1  IL19  PIK3R1  TNFRSF21  ARID5B  SLC7A11  NR4A2  OTULIN  UBR1  CXCR5  LMNA  CAMK2N1  VCAM1  NLRP3  ATF3  IL20  IL24  TIPARP  CXCL3  ZC3H12A  SPRY1  IL3  CSF2  HEY1  NFIL3  GJB2  NKX3-1  DDIT4  MN1  CXCL8  GPR183  SYAP1  TRH  S1PR1  JUNB  PTGER4  SLC25A33  PLK3  KLHL15  DDIT3  CLCF1  TGIF1  ERN1  GPR35  PER1  EGR3  SHISA2  TSPYL2  EFNA5  SOCS3  SOCS1  FFAR3  IRS2  INSIG1  FGF3  SERPINB2  VASN  DLL1  FCAR  CCL4  CCL18"
4.13810472978094e-09,92,1774,2.09173524112571,"Cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0008283"," RUNX3  SH2D2A  DDX20  TGFBR3  FGF22  TFRC  NUAK1  FOSL2  OSM  HIF1A  PPP1R16B  FAM83D  SMAD7  FGF9  RGCC  NDRG1  NAMPT  HOXA5  GLI3  AREG  CDKN1B  VEGFA  HBEGF  HES1  CBLB  IL1A  ERRFI1  MEF2D  ETV3  F3  NR4A3  ESRRB  YPEL5  INHBA  NR4A1  DBH  CDKN1A  EREG  WNT1  IL1B  SBDS  EDN2  LIF  JUND  RBM38  BTG1  KRAS  EGR4  SPRY2  IL6  IL10  FGFBP1  LRRC32  THBS1  TOB1  GATA6  DUSP10  TNFRSF21  IGFBP3  SLC7A11  BTG2  ICOSLG  LMNA  CAMK2N1  VCAM1  ATF3  IL24  SPDYA  SPRY1  IL3  CSF2  NKX3-1  MN1  CXCL8  GPR183  S1PR1  JUNB  SLC25A33  OVOL1  KRT2  CLCF1  FOSL1  ERN1  EGR3  IRS2  FGF3  SERTAD1  NRARP  TOX  DLG5  DLL1  BTG3"
1.33178866139924e-08,73,1283,2.29492610048004,"Negative regulation of cell communication "," http://amigo.geneontology.org/amigo/term/GO:0010648"," CRY1  PLAUR  GPRC5A  TGFBR3  PPP1R15A  RGS1  OSM  HIF1A  SMAD7  GLI3  PPIF  AREG  HBEGF  PDE4D  CBLB  IL1A  NFE2L2  ERRFI1  CTH  DUSP4  INHBA  SNAI1  EREG  WNT1  IL1B  RGS13  RASL11B  LIF  DNAJB9  GSC  SPRY2  IL6  SKIL  IL10  THBS1  TOB1  IL19  RGS16  DYRK3  DUSP10  PLK2  IGFBP3  ITPRIP  NR4A2  UBR1  LMNA  CAMK2N1  NLRP3  ATF3  PAQR3  ZC3H12A  SPRY1  CSF2  HEY1  NKX3-1  MIDN  TMEM88  DDIT4  CXCL8  DDIT3  RNF152  HIC1  GPR35  PER1  MYADM  SHISA2  SOCS3  SOCS1  INSIG1  NRARP  VASN  DLG5  DLL1"
1.33178866139924e-08,73,1286,2.28957246260955,"Negative regulation of signaling "," http://amigo.geneontology.org/amigo/term/GO:0023057"," CRY1  PLAUR  GPRC5A  TGFBR3  PPP1R15A  RGS1  OSM  HIF1A  SMAD7  GLI3  PPIF  AREG  HBEGF  PDE4D  CBLB  IL1A  NFE2L2  ERRFI1  CTH  DUSP4  INHBA  SNAI1  EREG  WNT1  IL1B  RGS13  RASL11B  LIF  DNAJB9  GSC  SPRY2  IL6  SKIL  IL10  THBS1  TOB1  IL19  RGS16  DYRK3  DUSP10  PLK2  IGFBP3  ITPRIP  NR4A2  UBR1  LMNA  CAMK2N1  NLRP3  ATF3  PAQR3  ZC3H12A  SPRY1  CSF2  HEY1  NKX3-1  MIDN  TMEM88  DDIT4  CXCL8  DDIT3  RNF152  HIC1  GPR35  PER1  MYADM  SHISA2  SOCS3  SOCS1  INSIG1  NRARP  VASN  DLG5  DLL1"
1.6185519081174e-08,48,667,2.90260477238016,"Vasculature development "," http://amigo.geneontology.org/amigo/term/GO:0001944"," TNFRSF12A  SH2D2A  SLC12A2  TGFBR3  JMJD6  HIF1A  PPP1R16B  SMAD7  FGF9  RGCC  HOXA5  GLI3  VEGFA  HES1  IL1A  NFE2L2  ERRFI1  GADD45A  CTH  F3  EPC1  CXCR4  NR4A1  EREG  IL1B  LIF  BTG1  SPRY2  IL6  IL10  FGFBP1  THBS1  GATA6  PLK2  OTULIN  TIPARP  ZC3H12A  HEY1  NKX3-1  CXCL8  S1PR1  JUNB  DDIT3  FOSL1  EGR3  SOCS3  NRARP  DLL1"
1.6185519081174e-08,75,1358,2.22758351341307,"Cell migration "," http://amigo.geneontology.org/amigo/term/GO:0016477"," SLC7A9  SLC12A2  TGFBR3  FGF22  NTN4  CXCL2  CASS4  HIF1A  FAM83D  SMAD7  FGF9  RGCC  HAS1  HOXA5  GLI3  CCL7  PHACTR1  PTP4A1  VEGFA  HBEGF  HES1  CCL20  IL1R1  NFE2L2  GADD45A  F3  NR4A3  CXCR4  NR4A1  DBH  SNAI1  IL1B  SBDS  EDN2  BTG1  SPRY2  IL6  IL10  TUBB2A  FGFBP1  THBS1  DUSP10  PLK2  PIK3R1  IGFBP3  ARID5B  SLC7A11  NR4A2  CXCR5  LMNA  VCAM1  NLRP3  IL24  CXCL3  ZC3H12A  RHOBTB3  SEMA6B  DDIT4  CXCL8  SDC2  GPR183  S1PR1  PTGER4  RND1  KRT2  OLR1  THBD  EGR3  MYADM  IRS2  FGF3  LAMB3  DLG5  CCL4  CCL18"
1.6185519081174e-08,152,3759,1.63096170437057,"Regulation of response to stimulus "," http://amigo.geneontology.org/amigo/term/GO:0048583"," TNFRSF12A  CRY1  PLAUR  GPRC5A  USP2  PTGER3  SLC12A2  TGFBR3  FGF22  ATP2B1  TFRC  NUAK1  TRAF4  P2RY10  PPP1R15A  CASS4  RGS1  OSM  HIF1A  PPP1R16B  FAM83D  SMAD7  FGF9  RGCC  NAMPT  GLI3  PPIF  CCL7  AREG  KLRB1  ULBP1  VEGFA  HBEGF  PDE4D  HES1  CBLB  IL1A  CCL20  DNAJC27  IL1R1  NFE2L2  ERRFI1  GADD45A  CTH  F3  NR4A3  DUSP4  CXCR4  INHBA  DBH  G0S2  SNAI1  EREG  WNT1  IL1B  RGS13  EDN2  RASL11B  LIF  DNAJB9  CRACR2A  GADD45G  DNAJB1  KRAS  GSC  SPRY2  IL6  SKIL  IL10  FGFBP1  THBS1  TOB1  GATA6  RNF165  PMAIP1  IL19  RGS16  DYRK3  DUSP10  PLK2  PIK3R1  TNFRSF21  IGFBP3  ITPRIP  SLC7A11  JMY  RANBP2  NR4A2  OTULIN  SAMSN1  UBR1  ICOSLG  LMNA  CAMK2N1  VCAM1  NLRP3  ATF3  IL20  IL24  PAQR3  ICOS  ZC3H12A  SPRY1  IL3  CSF2  HEY1  MFAP4  NKX3-1  NFKBID  SEMA6B  TMEM88  DDIT4  MN1  CXCL8  GPR183  S1PR1  PTGER4  MUC13  PLK3  KLHL15  DDIT3  CLCF1  RNF152  HIC1  ERN1  GPR35  THBD  PER1  MYADM  AKAP5  SHISA2  TSPYL2  SOCS3  SOCS1  FFAR3  IRS2  LRRC70  INSIG1  FGF3  SERPINB2  NRARP  CD247  RAET1G  IER3  VASN  DLG5  METRNL  DLL1  KIR2DL4  FCAR  CCL4  CCL18"
