"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.96048131558336e-06,24,227,4.26439952241756,"Cytokine activity "," http://amigo.geneontology.org/amigo/term/GO:0005125"," CXCL2  OSM  NAMPT  CCL7  AREG  VEGFA  IL1A  CCL20  INHBA  WNT1  IL1B  LIF  IL6  IL10  IL19  IL20  IL24  CXCL3  IL3  CSF2  CXCL8  CLCF1  CCL4  CCL18"
4.48646803243392e-06,67,1327,2.03646233158907,"Signaling receptor binding "," http://amigo.geneontology.org/amigo/term/GO:0005102"," PLAUR  SMARCD1  TGFBR3  FGF22  TRAF4  CXCL2  GNAO1  OSM  SMAD7  FGF9  NAMPT  CCL7  AREG  ULBP1  VEGFA  HBEGF  APBB3  PDE4D  CBLB  IL1A  CCL20  IL1R1  PLCL1  INHBA  EREG  WNT1  IL1B  EDN2  RASL11B  LIF  ULBP2  IL6  IL10  THBS1  GABARAPL1  TOB1  GNAL  IL19  PIK3R1  ICOSLG  VCAM1  IL20  IL24  CXCL3  IL3  CSF2  SYTL3  MFAP4  SEMA6B  CXCL8  TRH  S1PR1  RND1  CLCF1  ERN1  AKAP5  EFNA5  BEX5  SOCS1  IRS2  FGF3  RAET1G  METRNL  DLL1  CCL4  RTP5  CCL18"
4.48646803243392e-06,34,456,3.00736801114937,"Signaling receptor activator activity "," http://amigo.geneontology.org/amigo/term/GO:0030546"," FGF22  CXCL2  OSM  FGF9  NAMPT  CCL7  AREG  VEGFA  HBEGF  IL1A  CCL20  INHBA  EREG  WNT1  IL1B  EDN2  LIF  IL6  IL10  IL19  IL20  IL24  CXCL3  IL3  CSF2  SEMA6B  CXCL8  TRH  CLCF1  EFNA5  FGF3  METRNL  CCL4  CCL18"
4.51202042766547e-06,24,254,3.81109721097947,"Cytokine receptor binding "," http://amigo.geneontology.org/amigo/term/GO:0005126"," TGFBR3  TRAF4  CXCL2  OSM  SMAD7  CCL7  VEGFA  IL1A  CCL20  IL1B  RASL11B  LIF  IL6  IL10  PIK3R1  IL20  CXCL3  IL3  CSF2  CXCL8  CLCF1  EFNA5  CCL4  CCL18"
4.54441972654559e-06,33,449,2.96442249651354,"Receptor ligand activity "," http://amigo.geneontology.org/amigo/term/GO:0048018"," FGF22  CXCL2  OSM  FGF9  NAMPT  CCL7  AREG  VEGFA  HBEGF  IL1A  CCL20  INHBA  EREG  WNT1  IL1B  EDN2  LIF  IL6  IL10  IL19  IL20  IL24  CXCL3  IL3  CSF2  SEMA6B  CXCL8  TRH  CLCF1  FGF3  METRNL  CCL4  CCL18"
5.88172789641719e-06,6,10,24.2004672897196,"Protein tyrosine/threonine phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0008330"," DUSP4  DUSP5  DUSP10  DUSP2  DUSP8  DUSP16"
8.90104063791782e-06,34,492,2.78731669326039,"Signaling receptor regulator activity "," http://amigo.geneontology.org/amigo/term/GO:0030545"," FGF22  CXCL2  OSM  FGF9  NAMPT  CCL7  AREG  VEGFA  HBEGF  IL1A  CCL20  INHBA  EREG  WNT1  IL1B  EDN2  LIF  IL6  IL10  IL19  IL20  IL24  CXCL3  IL3  CSF2  SEMA6B  CXCL8  TRH  CLCF1  EFNA5  FGF3  METRNL  CCL4  CCL18"
3.38314496268532e-05,6,13,18.6157440690151,"MAP kinase tyrosine/serine/threonine phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0017017"," DUSP4  DUSP5  DUSP10  DUSP2  DUSP8  DUSP16"
3.8645038769697e-05,61,1277,1.92668820761276,"DNA-binding transcription factor activity, RNA polymerase II-specific "," http://amigo.geneontology.org/amigo/term/GO:0000981"," RUNX3  MXD1  SMARCD1  FOSL2  EBF4  ZNF184  HIF1A  ADNP2  ZNF14  HOXA5  GLI3  BACH2  TFDP2  HES1  NFE2L2  MEF2D  RLF  ETV3  NR4A3  ESRRB  NR4A1  SNAI1  SPDEF  FOSB  GZF1  ZNF484  JUND  ZNF331  GSC  BHLHE40  EGR4  SKIL  GATA6  CSRNP1  ZNF256  NR4A2  ATF3  HEY1  NFIL3  NKX3-1  ZBTB5  ZBTB43  JUNB  OVOL1  SP3  ZBTB21  DDIT3  FOSL1  HIC1  TGIF1  NEUROG2  EGR3  ZNF571  MAFF  HES4  ZNF250  ZNF136  ZNF165  MAFK  ZNF891  ZNF432"
3.8645038769697e-05,6,14,17.2860480640854,"MAP kinase phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0033549"," DUSP4  DUSP5  DUSP10  DUSP2  DUSP8  DUSP16"
