"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
9.71598239430108e-06,25,284,3.55053804133211,"Cytokine-cytokine receptor interaction","http://www.genome.jp/kegg-bin/show_pathway?hsa04060 "," TNFRSF12A  CXCL2  OSM  CCL7  IL1A  CCL20  IL1R1  CXCR4  INHBA  IL1B  LIF  IL6  IL10  IL19  TNFRSF21  CXCR5  IL20  IL24  CXCL3  IL3  CSF2  CXCL8  CLCF1  CCL4  CCL18"
9.71598239430108e-06,14,94,6.00720819248359,"Viral protein interaction with cytokine and cytokine receptor","http://www.genome.jp/kegg-bin/show_pathway?hsa04061 "," CXCL2  CCL7  CCL20  CXCR4  IL6  IL10  IL19  CXCR5  IL20  IL24  CXCL3  CXCL8  CCL4  CCL18"
1.90942377854268e-05,15,118,5.12721764612704,"Natural killer cell mediated cytotoxicity","http://www.genome.jp/kegg-bin/show_pathway?hsa04650 "," GZMB  ULBP1  ULBP2  KRAS  PIK3R1  RAET1L  CSF2  CD247  RAET1G  KLRC3  KIR3DL2  KIR2DL3  KIR2DS1  KIR3DL3  KIR2DL2"
2.69244798281975e-05,23,276,3.36117601246106,"MAPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04010 "," FGF22  FGF9  MAP3K8  AREG  VEGFA  IL1A  IL1R1  GADD45A  DUSP4  NR4A1  EREG  IL1B  GADD45G  JUND  KRAS  DUSP5  DUSP10  DUSP2  DDIT3  EFNA5  FGF3  DUSP8  DUSP16"
8.75601095380932e-05,12,88,5.50010620220901,"IL-17 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04657 "," TRAF4  CXCL2  CCL7  CCL20  IL1B  FOSB  JUND  IL6  CXCL3  CSF2  CXCL8  FOSL1"
0.000338872662717946,13,119,4.40624754574727,"FoxO signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04068 "," CDKN1B  GADD45A  CDKN1A  GADD45G  KRAS  IL6  IL10  GABARAPL1  PLK2  PIK3R1  S1PR1  PLK3  IRS2"
0.000368331059843291,12,104,4.65393601725377,"TNF signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04668 "," CXCL2  MAP3K8  CCL20  IL1B  LIF  IL6  PIK3R1  VCAM1  CXCL3  CSF2  JUNB  SOCS3"
0.000385134790447332,11,90,4.92972481827622,"AGE-RAGE signaling pathway in diabetic complications","http://www.genome.jp/kegg-bin/show_pathway?hsa04933 "," CDKN1B  VEGFA  IL1A  F3  IL1B  KRAS  IL6  PIK3R1  VCAM1  CXCL8  THBD"
0.000385134790447332,8,45,7.17050882658359,"Malaria","http://www.genome.jp/kegg-bin/show_pathway?hsa05144 "," KLRB1  IL1B  IL6  IL10  THBS1  VCAM1  CXCL8  SDC2"
0.000582273501466621,11,95,4.67026561731431,"Amoebiasis","http://www.genome.jp/kegg-bin/show_pathway?hsa05146 "," CXCL2  IL1R1  IL1B  IL6  IL10  GNAL  PIK3R1  CXCL3  CSF2  CXCL8  LAMB3"
0.000818541343880897,7,38,7.4299680275455,"Graft-versus-host disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05332 "," GZMB  IL1A  IL1B  IL6  KIR3DL2  KIR2DL3  KIR2DL2"
0.000904897711740591,14,159,3.55143125844942,"Transcriptional misregulation in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05202 "," GZMB  CDKN1B  GADD45A  NR4A3  CDKN1A  CCNT1  GADD45G  IL6  IGFBP3  IL3  CSF2  CXCL8  DDIT3  MLF1"
0.00107862076626964,28,500,2.25871028037383,"Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," PTGER3  FGF22  TRAF4  HIF1A  FGF9  GLI3  CDKN1B  VEGFA  HES1  NFE2L2  GADD45A  SLC2A1  CXCR4  CDKN1A  WNT1  GADD45G  KRAS  IL6  PMAIP1  PIK3R1  IL3  HEY1  NKX3-1  CXCL8  PTGER4  FGF3  LAMB3  DLL1"
0.00237361494460024,13,155,3.38286101899307,"JAK-STAT signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04630 "," OSM  CDKN1A  LIF  IL6  IL10  IL19  PIK3R1  IL20  IL24  IL3  CSF2  SOCS3  SOCS1"
0.00265115795437257,11,117,3.79209601405863,"Osteoclast differentiation","http://www.genome.jp/kegg-bin/show_pathway?hsa04380 "," FOSL2  IL1A  IL1R1  IL1B  FOSB  JUND  PIK3R1  JUNB  FOSL1  SOCS3  SOCS1"
0.00324720409219227,8,66,4.88898329085245,"Melanoma","http://www.genome.jp/kegg-bin/show_pathway?hsa05218 "," FGF22  FGF9  GADD45A  CDKN1A  GADD45G  KRAS  PIK3R1  FGF3"
0.00324720409219227,12,141,3.43269039570491,"Breast cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05224 "," FGF22  FGF9  HES1  GADD45A  CDKN1A  WNT1  GADD45G  KRAS  PIK3R1  HEY1  FGF3  DLL1"
0.00356075133246381,9,85,4.27067069818582,"Rheumatoid arthritis","http://www.genome.jp/kegg-bin/show_pathway?hsa05323 "," CXCL2  VEGFA  IL1A  CCL20  IL1B  IL6  CXCL3  CSF2  CXCL8"
0.00420687811766405,6,38,6.36854402361043,"Bladder cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05219 "," VEGFA  HBEGF  CDKN1A  KRAS  THBS1  CXCL8"
0.00449254472331328,7,54,5.22849601938387,"Legionellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05134 "," CLK1  CXCL2  EEF1A2  IL1B  IL6  CXCL3  CXCL8"
