"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.26873892246726e-12,135,2080,1.99721051007816,"Immune response "," http://amigo.geneontology.org/amigo/term/GO:0006955"," MPO  PGLYRP1  MMP25  LTF  TNFRSF17  CALCRL  COL17A1  TNFRSF1A  UBE2D1  ALPK1  STX7  MEF2C  RAB10  OAS1  NLRC4  CEBPE  CRISP3  GGT5  APOL1  TLR8  BMX  OLFM4  MEFV  ZNF175  DDX58  PPP3CB  CCL8  OAS2  BTNL8  IFIH1  GCA  STAT1  SOS1  ARHGEF2  PLA2G4A  GBP1  MMP8  STBD1  SLC46A2  IFIT3  IFIT2  APAF1  CCR2  TNFSF10  HVCN1  CEACAM8  SIGLEC9  TRIM21  TRIM5  CHI3L1  CD180  TCN1  CD36  DYSF  RNASEL  RTP4  TLR4  SIT1  IDH1  ANXA3  GPR65  TRPM2  TRIM4  SERPING1  FCGR1A  LY96  ADAMTS5  BATF  MX1  CD1A  NCF1  SLAMF8  FCN2  HK3  SCIMP  TNFAIP8L2  MNDA  AIM2  DTX3L  CAMP  F2RL1  GPER1  CLEC4E  BATF2  CX3CR1  RAB24  CXCL10  CXCL11  RNASE2  PTAFR  CEACAM3  C3AR1  CLEC12A  KLHL6  HSPA6  TLR10  TLR6  GAPT  IL17RA  GATA2  GPBAR1  FUT7  CXCR2  RNF135  TMEM106A  METTL7A  TLR5  CARD9  TLR7  SIGLEC15  IL27  FCGR1B  SIRPA  MSRB1  TRIM13  C2  ORM2  ORM1  TAP1  HSPA1B  HSPA1A  TICAM2  CLEC12B  HP  TRIM34  CD24  LILRA1  IFI27  HLA-G  TARM1  PIK3R6  OSCAR  PADI4  DEFA1  DEFA4"
1.55310146818493e-11,111,1596,2.1401464892177,"Defense response "," http://amigo.geneontology.org/amigo/term/GO:0006952"," MPO  PGLYRP1  MMP25  LTF  IGF1  HGF  CALCRL  TNFRSF1A  ALPK1  MEF2C  OAS1  NLRC4  CEBPE  CRISP3  GGT5  APOL1  TLR8  MEFV  ZNF175  PLA2G4C  DDX58  LGALS3BP  CCL8  OAS2  IFIH1  STAT1  SDC1  ARHGEF2  GBP1  MMP8  IFIT3  IFIT2  CCR2  TRIM21  TRIM5  CHI3L1  CD180  HRH4  CD36  RNASEL  RTP4  TLR4  CASP5  ANXA3  NLRP12  TRIM4  SERPING1  CLEC1A  FCGR1A  LY96  ADAMTS5  BATF  MX1  NCF1  SLAMF8  FCN2  TNFAIP8L2  MNDA  AIM2  DTX3L  CAMP  F2RL1  GPER1  CLEC4E  BATF2  CX3CR1  CXCL10  CXCL11  RNASE2  PTAFR  C3AR1  TLR10  TLR6  IL17RA  GPBAR1  FUT7  CXCR2  RNF135  TMEM106A  FFAR4  TLR5  CARD9  LRRK2  TLR7  SIGLEC15  IL27  FCGR1B  SIRPA  MSRB1  TRIM13  C2  ORM2  ORM1  TICAM2  CEBPA  CLEC12B  HP  TRIM34  HPR  LILRA1  IFI27  NAPEPLD  HLA-G  TARM1  PIK3R6  NLRP7  PADI4  ADORA3  DEFA3  DEFA1  DEFA4"
3.13212099228231e-10,79,1003,2.42370393276498,"Defense response to other organism "," http://amigo.geneontology.org/amigo/term/GO:0098542"," MPO  PGLYRP1  LTF  TNFRSF1A  ALPK1  OAS1  NLRC4  CEBPE  CRISP3  APOL1  TLR8  MEFV  ZNF175  DDX58  CCL8  OAS2  IFIH1  STAT1  ARHGEF2  GBP1  IFIT3  IFIT2  TRIM21  TRIM5  CD180  CD36  RNASEL  RTP4  TLR4  ANXA3  TRIM4  SERPING1  FCGR1A  LY96  ADAMTS5  BATF  MX1  NCF1  SLAMF8  FCN2  TNFAIP8L2  MNDA  AIM2  DTX3L  CAMP  F2RL1  GPER1  CLEC4E  BATF2  CX3CR1  CXCL10  RNASE2  PTAFR  TLR10  TLR6  IL17RA  RNF135  TMEM106A  TLR5  CARD9  TLR7  SIGLEC15  IL27  FCGR1B  SIRPA  MSRB1  TRIM13  C2  TICAM2  CLEC12B  HP  TRIM34  IFI27  HLA-G  TARM1  PIK3R6  PADI4  DEFA1  DEFA4"
1.17899842888618e-09,68,818,2.55804993702304,"Innate immune response "," http://amigo.geneontology.org/amigo/term/GO:0045087"," PGLYRP1  LTF  ALPK1  OAS1  NLRC4  CRISP3  APOL1  TLR8  MEFV  DDX58  CCL8  OAS2  IFIH1  STAT1  ARHGEF2  GBP1  IFIT3  IFIT2  TRIM21  TRIM5  CD180  RNASEL  TLR4  TRIM4  SERPING1  FCGR1A  LY96  MX1  NCF1  SLAMF8  FCN2  TNFAIP8L2  MNDA  AIM2  DTX3L  CAMP  F2RL1  GPER1  CLEC4E  CX3CR1  CXCL10  RNASE2  PTAFR  TLR10  TLR6  IL17RA  RNF135  TMEM106A  TLR5  CARD9  TLR7  SIGLEC15  IL27  FCGR1B  SIRPA  MSRB1  TRIM13  C2  TICAM2  CLEC12B  TRIM34  IFI27  HLA-G  TARM1  PIK3R6  PADI4  DEFA1  DEFA4"
3.56871083788175e-09,157,2856,1.69158902420148,"Immune system process "," http://amigo.geneontology.org/amigo/term/GO:0002376"," MPO  PGLYRP1  MMP25  LTF  IGF1  TNFRSF17  CALCRL  COL17A1  TNFRSF1A  UBE2D1  ALPK1  DYNC1I2  STX7  MEF2C  RAB10  OAS1  NLRC4  CEBPE  CRISP3  GGT5  APOL1  TLR8  BMX  OLFM4  MEFV  LYL1  ZNF175  DDX58  PPP3CB  CCL8  OAS2  BTNL8  IFIH1  GCA  STAT1  SDC1  SOS1  ARHGEF2  PLA2G4A  GBP1  MMP8  STBD1  SLC46A2  IFIT3  IFIT2  NUDCD1  APAF1  CCR2  TNFSF10  HVCN1  NFE2  CEACAM8  SIGLEC9  CBFA2T3  TRIM21  TRIM5  CHI3L1  CD180  TCN1  CD36  LMO2  DYSF  RNASEL  GPR55  RTP4  TLR4  SIT1  KIF23  IDH1  ANXA3  GPR65  TRPM2  NLRP12  KIF2C  TRIM4  CDKN2B  SERPING1  FCGR1A  PTPRO  HHEX  LY96  ADAMTS5  BATF  MX1  CD1A  NCF1  SLAMF8  FCN2  HK3  SCIMP  TNFAIP8L2  MNDA  AIM2  DTX3L  CAMP  F2RL1  GPER1  CLEC4E  BATF2  CX3CR1  RAB24  CXCL10  CXCL11  RNASE2  PTAFR  MZB1  CEACAM3  C3AR1  CLEC12A  KLHL6  HSPA6  TLR10  TLR6  GAPT  IL17RA  GATA2  GPBAR1  FUT7  CXCR2  RNF135  GAS6  TMEM106A  PURA  METTL7A  L3MBTL1  GCNT1  TLR5  CARD9  LRRK2  TLR7  SIGLEC15  IL27  FCGR1B  SIRPA  MSRB1  TRIM13  C2  ORM2  ORM1  TAP1  HSPA1B  HSPA1A  TICAM2  CEBPA  CLEC12B  HP  TRIM34  CD24  LILRA1  IFI27  HLA-G  TARM1  PIK3R6  OSCAR  PADI4  DEFA1  DEFA4"
8.07007308062959e-09,55,614,2.7564348214856,"Myeloid leukocyte activation "," http://amigo.geneontology.org/amigo/term/GO:0002274"," MPO  PGLYRP1  MMP25  LTF  RAB10  CRISP3  OLFM4  GCA  PLA2G4A  MMP8  STBD1  APAF1  CCR2  HVCN1  CEACAM8  SIGLEC9  CHI3L1  TCN1  CD36  DYSF  TLR4  IDH1  ANXA3  TRPM2  BATF  HK3  MNDA  CAMP  F2RL1  BATF2  RAB24  RNASE2  PTAFR  CEACAM3  C3AR1  CLEC12A  HSPA6  TLR6  GATA2  CXCR2  TMEM106A  METTL7A  LRRK2  SIRPA  ORM2  ORM1  HSPA1B  HSPA1A  TICAM2  CEBPA  HP  TARM1  OSCAR  DEFA1  DEFA4"
8.07007308062959e-09,60,714,2.58586857202774,"Leukocyte mediated immunity "," http://amigo.geneontology.org/amigo/term/GO:0002443"," MPO  PGLYRP1  MMP25  LTF  STX7  RAB10  CRISP3  TLR8  OLFM4  DDX58  PPP3CB  GCA  MMP8  STBD1  APAF1  CCR2  HVCN1  CEACAM8  SIGLEC9  CHI3L1  TCN1  CD36  TLR4  IDH1  ANXA3  TRPM2  SERPING1  BATF  CD1A  HK3  SCIMP  MNDA  CAMP  F2RL1  RAB24  RNASE2  PTAFR  CEACAM3  C3AR1  CLEC12A  HSPA6  GATA2  FUT7  CXCR2  METTL7A  SIRPA  C2  ORM2  ORM1  HSPA1B  HSPA1A  TICAM2  CLEC12B  HP  HLA-G  TARM1  PIK3R6  OSCAR  DEFA1  DEFA4"
8.07007308062959e-09,91,1350,2.07424968640655,"Response to biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009607"," MPO  PGLYRP1  LTF  TNFRSF1A  ALPK1  MEF2C  OAS1  NLRC4  CEBPE  CRISP3  GGT5  APOL1  TLR8  MEFV  ZNF175  DDX58  ACTA2  CCL8  OAS2  IFIH1  STAT1  ARHGEF2  KMO  GBP1  IFIT3  IFIT2  APAF1  TRIM21  TRIM5  CD180  CD36  RNASEL  RTP4  TLR4  ANXA3  TRIM4  SERPING1  FCGR1A  HNMT  LY96  ADAMTS5  BATF  MX1  NCF1  SLAMF8  FCN2  SCIMP  TNFAIP8L2  MNDA  AIM2  DTX3L  CAMP  F2RL1  GPER1  CLEC4E  BATF2  CX3CR1  CXCL10  CXCL11  RNASE2  PTAFR  TLR10  TLR6  IL17RA  RNF135  TMEM106A  TLR5  CARD9  TLR7  SIGLEC15  IL27  FCGR1B  SIRPA  TMEM229B  MSRB1  TRIM13  C2  TICAM2  CLEC12B  HP  TRIM34  CD24  IFI27  HLA-G  TARM1  PIK3R6  DACH1  NLRP7  PADI4  DEFA1  DEFA4"
8.07007308062959e-09,19,83,7.04415523054786,"Interleukin-1 beta production "," http://amigo.geneontology.org/amigo/term/GO:0032611"," IGF1  P2RX7  NLRC4  TLR8  MEFV  CD36  TLR4  NLRP12  MNDA  AIM2  F2RL1  CX3CR1  TLR6  TMEM106A  FFAR4  SIRPA  ORM2  ORM1  NLRP7"
8.07007308062959e-09,19,83,7.04415523054786,"Regulation of interleukin-1 beta production "," http://amigo.geneontology.org/amigo/term/GO:0032651"," IGF1  P2RX7  NLRC4  TLR8  MEFV  CD36  TLR4  NLRP12  MNDA  AIM2  F2RL1  CX3CR1  TLR6  TMEM106A  FFAR4  SIRPA  ORM2  ORM1  NLRP7"
