"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
6.78865033750527e-07,23,155,4.56614340750963,"Specific granule "," http://amigo.geneontology.org/amigo/term/GO:0042581"," PGLYRP1  MMP25  LTF  CRISP3  OLFM4  MMP8  HVCN1  CEACAM8  CHI3L1  TCN1  CD36  ANXA3  TRPM2  CAMP  CEACAM3  C3AR1  CLEC12A  ORM2  ORM1  HP  TARM1  OSCAR  DEFA4"
1.19379333608528e-05,13,59,6.7802350524185,"Specific granule lumen "," http://amigo.geneontology.org/amigo/term/GO:0035580"," PGLYRP1  LTF  CRISP3  OLFM4  MMP8  CHI3L1  TCN1  CAMP  ORM2  ORM1  HP  OSCAR  DEFA4"
1.92436799697056e-05,12,53,6.96720815255776,"Tertiary granule lumen "," http://amigo.geneontology.org/amigo/term/GO:1904724"," PGLYRP1  LTF  CRISP3  OLFM4  MMP8  TCN1  IDH1  CAMP  METTL7A  ORM1  HP  OSCAR"
2.50189507141915e-05,20,156,3.9451071804013,"Tertiary granule "," http://amigo.geneontology.org/amigo/term/GO:0070820"," PGLYRP1  LTF  STX7  CRISP3  OLFM4  MMP8  STBD1  CEACAM8  TCN1  IDH1  TRPM2  CAMP  PTAFR  CLEC12A  METTL7A  SIRPA  ORM1  HP  TARM1  OSCAR"
4.6008861394384e-05,28,294,2.93065104829811,"Secretory granule lumen "," http://amigo.geneontology.org/amigo/term/GO:0034774"," MPO  PGLYRP1  LTF  IGF1  HGF  CRISP3  OLFM4  LGALS3BP  GCA  MMP8  APAF1  CHI3L1  TCN1  IDH1  SERPING1  HK3  MNDA  CAMP  RNASE2  HSPA6  GAS6  TOR4A  ORM2  ORM1  HP  OSCAR  DEFA1  DEFA4"
4.95655884888777e-05,28,300,2.87203802733215,"Vesicle lumen "," http://amigo.geneontology.org/amigo/term/GO:0031983"," MPO  PGLYRP1  LTF  IGF1  HGF  CRISP3  OLFM4  LGALS3BP  GCA  MMP8  APAF1  CHI3L1  TCN1  IDH1  SERPING1  HK3  MNDA  CAMP  RNASE2  HSPA6  GAS6  TOR4A  ORM2  ORM1  HP  OSCAR  DEFA1  DEFA4"
4.95655884888777e-05,28,298,2.89131345033437,"Cytoplasmic vesicle lumen "," http://amigo.geneontology.org/amigo/term/GO:0060205"," MPO  PGLYRP1  LTF  IGF1  HGF  CRISP3  OLFM4  LGALS3BP  GCA  MMP8  APAF1  CHI3L1  TCN1  IDH1  SERPING1  HK3  MNDA  CAMP  RNASE2  HSPA6  GAS6  TOR4A  ORM2  ORM1  HP  OSCAR  DEFA1  DEFA4"
5.06028480358889e-05,53,800,2.03863413547237,"Secretory granule "," http://amigo.geneontology.org/amigo/term/GO:0030141"," MPO  PGLYRP1  MMP25  LTF  IGF1  HGF  STX7  RAB10  CRISP3  OLFM4  LGALS3BP  GCA  MMP8  STBD1  APAF1  HVCN1  CEACAM8  SIGLEC9  CHI3L1  TCN1  CD36  HILPDA  SPAG8  IDH1  ANXA3  TRPM2  SERPING1  HK3  MNDA  CAMP  RAB24  RNASE2  PTAFR  CEACAM3  C3AR1  CLEC12A  HSPA6  CXCR2  GAS6  METTL7A  SIRPA  TOR4A  TEX22  ORM2  ORM1  HSPA1B  HSPA1A  TICAM2  HP  TARM1  OSCAR  DEFA1  DEFA4"
0.000192870926011822,58,952,1.87475471472011,"Secretory vesicle "," http://amigo.geneontology.org/amigo/term/GO:0099503"," MPO  PGLYRP1  MMP25  LTF  IGF1  HGF  STX7  RAB10  CRISP3  OLFM4  SYT17  LGALS3BP  GCA  MMP8  STBD1  APAF1  HVCN1  CEACAM8  SIGLEC9  CHI3L1  TCN1  CD36  HILPDA  STX11  STX6  SPAG8  IDH1  ANXA3  TRPM2  SERPING1  HK3  MNDA  CAMP  RAB24  RNASE2  PTAFR  CEACAM3  C3AR1  CLEC12A  HSPA6  MCTP1  CXCR2  GAS6  METTL7A  LRRK2  SIRPA  TOR4A  TEX22  ORM2  ORM1  HSPA1B  HSPA1A  TICAM2  HP  TARM1  OSCAR  DEFA1  DEFA4"
0.000583136613525818,26,309,2.58921597470998,"Endocytic vesicle "," http://amigo.geneontology.org/amigo/term/GO:0030139"," MPO  PGLYRP1  LTF  CLTCL1  STX7  RAB10  WNT6  HVCN1  CD36  DYSF  STX6  ANXA3  FCGR1A  NCF1  SCIMP  RAB24  TLR6  RAB39A  FZD2  FFAR4  TLR7  FCGR1B  LPAR1  TAP1  HP  HLA-G"
0.000787149698090616,15,126,3.66331381037263,"Phagocytic vesicle "," http://amigo.geneontology.org/amigo/term/GO:0045335"," MPO  PGLYRP1  LTF  RAB10  HVCN1  CD36  STX6  ANXA3  NCF1  SCIMP  TLR6  RAB39A  TLR7  TAP1  HLA-G"
0.00103459102017553,13,100,4.00033868092692,"Blood microparticle "," http://amigo.geneontology.org/amigo/term/GO:0072562"," ITIH1  APOL1  LGALS3BP  SERPING1  FCN2  HSPA6  HBG2  ORM2  ORM1  HSPA1B  HSPA1A  HP  HPR"
0.00960130597397606,102,2239,1.40184335539405,"Cytoplasmic vesicle "," http://amigo.geneontology.org/amigo/term/GO:0031410"," MPO  PGLYRP1  MMP25  LTF  IGF1  HGF  CALCRL  STOML1  CLTCL1  SLC1A3  STX7  RAB10  TBC1D2  CRISP3  TLR8  OLFM4  MEFV  SYT17  SLC1A5  C17orf75  LGALS3BP  GCA  WNT6  ARHGEF2  GBP1  MMP8  STBD1  APAF1  HVCN1  SSPN  CEACAM8  STEAP4  SIGLEC9  TRIM21  CHI3L1  SORT1  TCN1  CD36  HILPDA  STX11  DYSF  STX6  SLC31A2  TLR4  SPAG8  MYOF  IDH1  ANXA3  TRPM2  OSBPL11  SERPING1  FCGR1A  ANKRD50  LY96  MX1  CD1A  NCF1  HK3  SCIMP  MNDA  DTX3L  CAMP  F2RL1  GPER1  SPRED1  RAB24  RNASE2  PTAFR  CEACAM3  C3AR1  CLEC12A  HSPA6  TLR6  MCTP1  RAB39A  FZD2  CXCR2  GAS6  METTL7A  FFAR4  LRRK2  GIMAP5  TLR7  FCGR1B  SIRPA  TOR4A  LPAR1  TEX22  ORM2  ORM1  TAP1  HSPA1B  HSPA1A  TICAM2  HP  NAPEPLD  HLA-G  TARM1  MYH11  OSCAR  DEFA1  DEFA4"
0.00960130597397606,102,2241,1.40059226806215,"Intracellular vesicle "," http://amigo.geneontology.org/amigo/term/GO:0097708"," MPO  PGLYRP1  MMP25  LTF  IGF1  HGF  CALCRL  STOML1  CLTCL1  SLC1A3  STX7  RAB10  TBC1D2  CRISP3  TLR8  OLFM4  MEFV  SYT17  SLC1A5  C17orf75  LGALS3BP  GCA  WNT6  ARHGEF2  GBP1  MMP8  STBD1  APAF1  HVCN1  SSPN  CEACAM8  STEAP4  SIGLEC9  TRIM21  CHI3L1  SORT1  TCN1  CD36  HILPDA  STX11  DYSF  STX6  SLC31A2  TLR4  SPAG8  MYOF  IDH1  ANXA3  TRPM2  OSBPL11  SERPING1  FCGR1A  ANKRD50  LY96  MX1  CD1A  NCF1  HK3  SCIMP  MNDA  DTX3L  CAMP  F2RL1  GPER1  SPRED1  RAB24  RNASE2  PTAFR  CEACAM3  C3AR1  CLEC12A  HSPA6  TLR6  MCTP1  RAB39A  FZD2  CXCR2  GAS6  METTL7A  FFAR4  LRRK2  GIMAP5  TLR7  FCGR1B  SIRPA  TOR4A  LPAR1  TEX22  ORM2  ORM1  TAP1  HSPA1B  HSPA1A  TICAM2  HP  NAPEPLD  HLA-G  TARM1  MYH11  OSCAR  DEFA1  DEFA4"
0.0128297190653831,3,5,18.4631016042781,"Phagocytic vesicle lumen "," http://amigo.geneontology.org/amigo/term/GO:0097013"," MPO  PGLYRP1  LTF"
