"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.47113519347232e-07,47,2946,2.57931658746323,"Immune response "," http://amigo.geneontology.org/amigo/term/GO:0006955"," PRDM1  FBXW11  FYB1  RAB10  WDFY1  JAK2  PGRMC1  RAB11FIP2  OAS2  FAF2  ITGA4  IFIH1  STAT1  GBP1  CD46  NPC2  IFIT2  GCH1  TRIM22  PUM1  CTSL  DOCK10  CASP1  PPM1B  RAB1A  PARP9  HERC5  TIFA  IQGAP2  DOCK11  FCGR1A  GBP5  PAXIP1  GBP2  GBP4  IL15  HSP90B1  STAT2  KIF5B  PARP14  TBK1  TLR7  TAP2  MICB  TAP1  HLA-DMB  TICAM2"
4.47113519347232e-07,15,293,8.27681359378404,"Defense response to virus "," http://amigo.geneontology.org/amigo/term/GO:0051607"," OAS2  IFIH1  STAT1  GBP1  IFIT2  TRIM22  PUM1  PPM1B  PARP9  HERC5  IL15  STAT2  TBK1  TLR7  MICB"
4.47113519347232e-07,15,293,8.27681359378404,"Defense response to symbiont "," http://amigo.geneontology.org/amigo/term/GO:0140546"," OAS2  IFIH1  STAT1  GBP1  IFIT2  TRIM22  PUM1  PPM1B  PARP9  HERC5  IL15  STAT2  TBK1  TLR7  MICB"
7.46293065658831e-07,54,3847,2.26940030640068,"Immune system process "," http://amigo.geneontology.org/amigo/term/GO:0002376"," PRDM1  POLB  FBXW11  FYB1  RAB10  WDFY1  JAK2  PGRMC1  RAB11FIP2  MAP3K8  OAS2  FAF2  ITGA4  IFIH1  STAT1  PLEK  GBP1  CD46  NPC2  IFIT2  GCH1  TRIM22  PUM1  CTSL  DOCK10  CASP1  PPM1B  RAB1A  PARP9  HERC5  TIFA  IQGAP2  DOCK11  FCGR1A  PTPRO  MFSD6  GBP5  PAXIP1  GBP2  GBP4  SNRK  IL15  HSP90B1  STAT2  KIF5B  PARP14  TBK1  TLR7  MAFB  TAP2  MICB  TAP1  HLA-DMB  TICAM2"
1.82261374354417e-06,16,392,6.59892893327544,"Response to virus "," http://amigo.geneontology.org/amigo/term/GO:0009615"," OAS2  IFIH1  STAT1  GBP1  NPC2  IFIT2  TRIM22  PUM1  PPM1B  PARP9  HERC5  IL15  STAT2  TBK1  TLR7  MICB"
4.07222149610076e-06,14,312,7.25459174395345,"Response to interferon-gamma "," http://amigo.geneontology.org/amigo/term/GO:0034341"," JAK2  OAS2  STAT1  GBP1  GCH1  TRIM22  CASP1  PARP9  FCGR1A  GBP5  GBP2  GBP4  KIF5B  PARP14"
4.07222149610076e-06,30,1499,3.23563226548195,"Defense response to other organism "," http://amigo.geneontology.org/amigo/term/GO:0098542"," PRDM1  FBXW11  JAK2  OAS2  IFIH1  STAT1  GBP1  CD46  IFIT2  GCH1  TRIM22  PUM1  CASP1  PPM1B  RAB1A  PARP9  HERC5  TIFA  FCGR1A  GBP5  GBP2  GBP4  IL15  STAT2  KIF5B  PARP14  TBK1  TLR7  MICB  TICAM2"
9.29936861790404e-06,35,2057,2.75089040363816,"Biological process involved in interspecies interaction between organisms "," http://amigo.geneontology.org/amigo/term/GO:0044419"," PRDM1  FBXW11  CHMP2B  JAK2  OAS2  IFIH1  STAT1  GBP1  CD46  NPC2  IFIT2  WWP1  GCH1  TRIM22  PUM1  CTSL  CASP1  PPM1B  RAB1A  PARP9  HERC5  SCARB2  TIFA  FCGR1A  GBP5  GBP2  GBP4  IL15  STAT2  KIF5B  PARP14  TBK1  TLR7  MICB  TICAM2"
1.0264424855274e-05,13,288,7.29777383766745,"Cellular response to interferon-gamma "," http://amigo.geneontology.org/amigo/term/GO:0071346"," JAK2  OAS2  STAT1  GBP1  TRIM22  CASP1  PARP9  FCGR1A  GBP5  GBP2  GBP4  KIF5B  PARP14"
3.30177347090963e-05,28,1488,3.04224815069015,"Regulation of immune response "," http://amigo.geneontology.org/amigo/term/GO:0050776"," FBXW11  FYB1  WDFY1  JAK2  RAB11FIP2  ITGA4  IFIH1  STAT1  GBP1  CD46  PUM1  CTSL  PPM1B  PARP9  HERC5  TIFA  FCGR1A  GBP5  PAXIP1  IL15  HSP90B1  STAT2  PARP14  TBK1  TLR7  MICB  HLA-DMB  TICAM2"
4.22182415482929e-05,32,1905,2.71577967647661,"Response to biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009607"," HSPA5  PRDM1  FBXW11  JAK2  OAS2  IFIH1  STAT1  GBP1  CD46  NPC2  IFIT2  GCH1  TRIM22  PUM1  CASP1  PPM1B  RAB1A  PARP9  HERC5  TIFA  FCGR1A  GBP5  GBP2  GBP4  IL15  STAT2  KIF5B  PARP14  TBK1  TLR7  MICB  TICAM2"
5.38415662929644e-05,25,1258,3.21291253706773,"Innate immune response "," http://amigo.geneontology.org/amigo/term/GO:0045087"," PRDM1  FBXW11  JAK2  OAS2  IFIH1  STAT1  GBP1  CD46  IFIT2  GCH1  TRIM22  CASP1  PARP9  HERC5  TIFA  FCGR1A  GBP5  GBP2  GBP4  STAT2  KIF5B  PARP14  TBK1  TLR7  TICAM2"
7.01808674213391e-05,31,1867,2.68445984189753,"Response to external biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0043207"," PRDM1  FBXW11  JAK2  OAS2  IFIH1  STAT1  GBP1  CD46  NPC2  IFIT2  GCH1  TRIM22  PUM1  CASP1  PPM1B  RAB1A  PARP9  HERC5  TIFA  FCGR1A  GBP5  GBP2  GBP4  IL15  STAT2  KIF5B  PARP14  TBK1  TLR7  MICB  TICAM2"
7.01808674213391e-05,31,1866,2.68589845917615,"Response to other organism "," http://amigo.geneontology.org/amigo/term/GO:0051707"," PRDM1  FBXW11  JAK2  OAS2  IFIH1  STAT1  GBP1  CD46  NPC2  IFIT2  GCH1  TRIM22  PUM1  CASP1  PPM1B  RAB1A  PARP9  HERC5  TIFA  FCGR1A  GBP5  GBP2  GBP4  IL15  STAT2  KIF5B  PARP14  TBK1  TLR7  MICB  TICAM2"
